# Input_f[HZ]	 Output_Amplitude[V]
0,		  1.280
10,		  1.280
100,		1.280
300, 		1.120
500,		0.920
600,    0.840
700,		0.760
800,    0.680
1000,		0.560
1100,   0.520
1200,		0.480
1500,		0.400
2000,		0.320
3000,		0.224
5000,		0.128
10000,	0.040
20000,	0.024
# Limits of FPGA
